benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
MAP_relic,2688.9620,2.349248e-02,2.350649e-02,7.051947e-02,9.401195e-02,4.699897e-02,0.750112,2.000298
MAP_relic,2756.5132,2.251064e-02,2.252212e-02,6.756635e-02,9.007700e-02,4.503276e-02,0.750096,2.000255
MAP_relic,2825.7614,2.156336e-02,2.157239e-02,6.471718e-02,8.628055e-02,4.313576e-02,0.750078,2.000209
MAP_relic,2896.7492,2.061131e-02,2.065662e-02,6.196987e-02,8.258119e-02,4.126794e-02,0.750412,2.001098
MAP_relic,2969.5204,1.973322e-02,1.977407e-02,5.932222e-02,7.905544e-02,3.950729e-02,0.750388,2.001034
MAP_relic,3044.1197,1.888723e-02,1.888811e-02,5.666434e-02,7.555157e-02,3.777534e-02,0.750009,2.000023
MAP_relic,3120.5931,1.807257e-02,1.807172e-02,5.421515e-02,7.228773e-02,3.614429e-02,0.749991,1.999976
MAP_relic,3198.9876,1.728847e-02,1.728602e-02,5.185807e-02,6.914654e-02,3.457449e-02,0.749974,1.999929
MAP_relic,3279.3515,1.650249e-02,1.653024e-02,4.959072e-02,6.609321e-02,3.303273e-02,0.750315,2.000840
MAP_relic,3361.7343,1.577874e-02,1.580356e-02,4.741067e-02,6.318941e-02,3.158230e-02,0.750294,2.000786
MAP_relic,3446.1867,1.508300e-02,1.510516e-02,4.531547e-02,6.039846e-02,3.018815e-02,0.750275,2.000734
MAP_relic,3532.7606,1.441445e-02,1.443422e-02,4.330267e-02,5.771712e-02,2.884868e-02,0.750257,2.000685
MAP_relic,3621.5095,1.377228e-02,1.378990e-02,4.136970e-02,5.514198e-02,2.756218e-02,0.750240,2.000639
MAP_relic,3712.4878,1.315574e-02,1.317144e-02,3.951431e-02,5.267005e-02,2.632718e-02,0.750224,2.000596
MAP_relic,3805.7517,1.256400e-02,1.257799e-02,3.773396e-02,5.029797e-02,2.514199e-02,0.750209,2.000556
MAP_relic,3901.3586,1.199628e-02,1.198561e-02,3.595682e-02,4.795310e-02,2.398189e-02,0.749833,1.999555
MAP_relic,3999.3672,1.145179e-02,1.144080e-02,3.432240e-02,4.577419e-02,2.289259e-02,0.749820,1.999520
MAP_relic,4099.8380,1.092976e-02,1.093967e-02,3.281902e-02,4.374878e-02,2.186943e-02,0.750170,2.000453
MAP_relic,4202.8327,1.042942e-02,1.043829e-02,3.131486e-02,4.174428e-02,2.086771e-02,0.750159,2.000425
MAP_relic,4308.4149,9.950028e-03,9.938599e-03,2.981580e-02,3.976583e-02,1.988863e-02,0.749784,1.999425
MAP_relic,4416.6495,9.490845e-03,9.479409e-03,2.843823e-02,3.792907e-02,1.897025e-02,0.749774,1.999397
MAP_relic,4527.6031,9.032770e-03,9.039762e-03,2.711929e-02,3.615206e-02,1.807253e-02,0.750145,2.000387
MAP_relic,4641.3441,8.612596e-03,8.618942e-03,2.585683e-02,3.446942e-02,1.723154e-02,0.750138,2.000368
MAP_relic,4757.9424,8.210467e-03,8.216251e-03,2.464875e-02,3.285922e-02,1.642672e-02,0.750132,2.000352
MAP_relic,4877.4698,7.825711e-03,7.814279e-03,2.344284e-02,3.126855e-02,1.563999e-02,0.749726,1.999269
MAP_relic,5000.0000,7.457672e-03,7.446480e-03,2.233944e-02,2.979711e-02,1.490415e-02,0.749718,1.999249
