v0_km_s,BP1_sigma_fixed,BP1_sigma_avg,BP1_epsilon,BP1_eta,MAP_sigma_fixed,MAP_sigma_avg,MAP_epsilon,MAP_eta
1365.2482,4.33774440e-02,3.77130920e-02,-1.30582890e-01,-1.76422585e+00,1.85563979e-01,1.55170156e-01,-1.63791611e-01,-1.21583055e+00
1430.0323,3.99547528e-02,3.49201234e-02,-1.26008272e-01,-1.78110664e+00,1.75286837e-01,1.46468052e-01,-1.64409294e-01,-1.24175444e+00
1497.8905,3.67740568e-02,3.23077845e-02,-1.21451717e-01,-1.79700439e+00,1.65382725e-01,1.38113954e-01,-1.64882825e-01,-1.26854182e+00
1568.9688,3.38225116e-02,2.98679624e-02,-1.16920624e-01,-1.81178473e+00,1.55835746e-01,1.30098849e-01,-1.65154004e-01,-1.29575383e+00
1643.4198,3.10873547e-02,2.75924782e-02,-1.12421160e-01,-1.82566197e+00,1.46660154e-01,1.22421703e-01,-1.65269500e-01,-1.32381865e+00
1721.4038,2.85554669e-02,2.54726355e-02,-1.07959412e-01,-1.83872359e+00,1.37834822e-01,1.15080108e-01,-1.65086832e-01,-1.35209886e+00
1803.0883,2.62144776e-02,2.34994313e-02,-1.03570491e-01,-1.85093017e+00,1.29379421e-01,1.08065229e-01,-1.64741745e-01,-1.38119360e+00
1888.6488,2.40522198e-02,2.16646871e-02,-9.92645490e-02,-1.86162528e+00,1.21266381e-01,1.01368705e-01,-1.64082372e-01,-1.41022779e+00
1978.2694,2.20585231e-02,1.99613249e-02,-9.50742791e-02,-1.87209951e+00,1.13521339e-01,9.49898897e-02,-1.63241992e-01,-1.43726760e+00
2072.1427,2.02194160e-02,1.83808433e-02,-9.09310486e-02,-1.88266427e+00,1.06136282e-01,8.89260181e-02,-1.62152501e-01,-1.46836256e+00
2170.4705,1.85252658e-02,1.69156690e-02,-8.68865672e-02,-1.89217462e+00,9.90715168e-02,8.31570039e-02,-1.60636613e-01,-1.49733746e+00
2273.4642,1.69657732e-02,1.55581939e-02,-8.29658209e-02,-1.90048238e+00,9.23779670e-02,7.76870636e-02,-1.59030383e-01,-1.52442313e+00
2381.3452,1.55322709e-02,1.43017880e-02,-7.92210545e-02,-1.90894596e+00,8.60127129e-02,7.25003330e-02,-1.57097474e-01,-1.55280352e+00
2494.3453,1.42135758e-02,1.31424622e-02,-7.53584870e-02,-1.91787390e+00,7.99906820e-02,6.75966917e-02,-1.54942926e-01,-1.58459604e+00
2612.7076,1.30018495e-02,1.20692147e-02,-7.17309347e-02,-1.92171020e+00,7.42597375e-02,6.29577371e-02,-1.52195533e-01,-1.61254970e+00
2736.6864,1.18937566e-02,1.10774936e-02,-6.86295301e-02,-1.92852109e+00,6.88818040e-02,5.85852476e-02,-1.49481514e-01,-1.63494541e+00
2866.5483,1.08729294e-02,1.01667408e-02,-6.49492499e-02,-1.93747613e+00,6.38141049e-02,5.44626004e-02,-1.46542908e-01,-1.66142346e+00
3002.5724,9.93802014e-03,9.32292188e-03,-6.18934407e-02,-1.94468596e+00,5.90475054e-02,5.05865262e-02,-1.43291052e-01,-1.68730727e+00
3145.0512,9.07898011e-03,8.54693319e-03,-5.86020588e-02,-1.94586275e+00,5.45721950e-02,4.69380436e-02,-1.39890861e-01,-1.71257070e+00
3294.2909,8.29741827e-03,7.83112637e-03,-5.61972267e-02,-1.95177967e+00,5.03777742e-02,4.35152030e-02,-1.36222200e-01,-1.73720004e+00
3450.6124,7.57603392e-03,7.17433419e-03,-5.30224298e-02,-1.96586656e+00,4.64533521e-02,4.03009004e-02,-1.32443654e-01,-1.75178755e+00
3614.3517,6.91481510e-03,6.57014184e-03,-4.98456210e-02,-1.96957680e+00,4.28249826e-02,3.73054591e-02,-1.28885599e-01,-1.77435904e+00
3785.8607,6.31146376e-03,6.01284263e-03,-4.73140850e-02,-1.96316988e+00,3.94063635e-02,3.44968195e-02,-1.24587594e-01,-1.80212100e+00
3965.5083,5.76403688e-03,5.50273808e-03,-4.53326049e-02,-1.97269348e+00,3.62350249e-02,3.18726050e-02,-1.20392353e-01,-1.82390845e+00
4153.6805,5.25645283e-03,5.03407011e-03,-4.23066142e-02,-1.98695061e+00,3.32751775e-02,2.94243245e-02,-1.15727499e-01,-1.83661230e+00
4350.7820,4.79419083e-03,4.60334108e-03,-3.98085438e-02,-1.99539685e+00,3.05612436e-02,2.71506770e-02,-1.11597767e-01,-1.85243112e+00
4557.2363,4.36858933e-03,4.20817381e-03,-3.67202095e-02,-1.98762717e+00,2.80237235e-02,2.50247183e-02,-1.07016658e-01,-1.87047542e+00
4773.4874,3.98727913e-03,3.84515872e-03,-3.56434566e-02,-1.98635014e+00,2.56950735e-02,2.30526074e-02,-1.02839405e-01,-1.88870947e+00
5000.0000,3.63374098e-03,3.51396565e-03,-3.29619873e-02,-2.00269274e+00,2.35217930e-02,2.12216242e-02,-9.77888405e-02,-1.90617886e+00
