v0_km_s,BP1_sigma_fixed,BP1_sigma_avg,BP1_epsilon,BP1_eta,MAP_sigma_fixed,MAP_sigma_avg,MAP_epsilon,MAP_eta
1082.7806,1.06727093e-01,8.99393838e-02,-1.57295669e-01,-1.51021995e+00,1.51392487e-01,1.26385272e-01,-1.65181350e-01,-1.40298130e+00
1134.1610,9.94495807e-02,8.40064123e-02,-1.55286411e-01,-1.53581462e+00,1.41756864e-01,1.18479965e-01,-1.64202972e-01,-1.43196207e+00
1187.9795,9.25613751e-02,7.83888765e-02,-1.53114607e-01,-1.56127834e+00,1.32568830e-01,1.10944669e-01,-1.63116476e-01,-1.46132037e+00
1244.3517,8.60463966e-02,7.30862254e-02,-1.50618407e-01,-1.58644008e+00,1.23793824e-01,1.03795864e-01,-1.61542472e-01,-1.49010343e+00
1303.3990,7.98999127e-02,6.80702079e-02,-1.48056542e-01,-1.61091487e+00,1.15461517e-01,9.69956451e-02,-1.59930962e-01,-1.51920767e+00
1365.2482,7.41077508e-02,6.33443241e-02,-1.45240230e-01,-1.63378896e+00,1.07528313e-01,9.05518039e-02,-1.57879433e-01,-1.54742313e+00
1430.0323,6.86682762e-02,5.88918118e-02,-1.42372358e-01,-1.65675053e+00,1.00028767e-01,8.44502864e-02,-1.55740007e-01,-1.57596003e+00
1497.8905,6.35548717e-02,5.47095953e-02,-1.39175426e-01,-1.67967588e+00,9.29097635e-02,7.86859911e-02,-1.53092333e-01,-1.60330648e+00
1568.9688,5.87649255e-02,5.07777721e-02,-1.35917018e-01,-1.70155665e+00,8.62109121e-02,7.32467701e-02,-1.50377043e-01,-1.63104370e+00
1643.4198,5.42787436e-02,4.70852141e-02,-1.32529403e-01,-1.72049695e+00,7.98696429e-02,6.81182295e-02,-1.47132414e-01,-1.65515599e+00
1721.4038,5.00998510e-02,4.36310212e-02,-1.29118742e-01,-1.74056393e+00,7.39454853e-02,6.32812709e-02,-1.44217247e-01,-1.67674177e+00
1803.0883,4.61891493e-02,4.03966817e-02,-1.25407541e-01,-1.76156926e+00,6.83694270e-02,5.87340579e-02,-1.40930962e-01,-1.70069755e+00
1888.6488,4.25501170e-02,3.73740365e-02,-1.21646681e-01,-1.78096246e+00,6.31578297e-02,5.44769935e-02,-1.37446715e-01,-1.72996006e+00
1978.2694,3.91582572e-02,3.45491853e-02,-1.17703702e-01,-1.79513934e+00,5.82370166e-02,5.04733109e-02,-1.33312216e-01,-1.75277679e+00
2072.1427,3.60257697e-02,3.19104403e-02,-1.14232935e-01,-1.81030656e+00,5.36840883e-02,4.67264998e-02,-1.29602434e-01,-1.76984233e+00
2170.4705,3.31074021e-02,2.94593846e-02,-1.10187369e-01,-1.83310887e+00,4.94231362e-02,4.32182022e-02,-1.25547151e-01,-1.79086031e+00
2273.4642,3.03946260e-02,2.71769406e-02,-1.05863629e-01,-1.84352703e+00,4.54705704e-02,3.99471632e-02,-1.21472133e-01,-1.80779738e+00
2381.3452,2.79054555e-02,2.50489170e-02,-1.02364877e-01,-1.85601407e+00,4.17958431e-02,3.68873101e-02,-1.17440698e-01,-1.82719780e+00
2494.3453,2.55892751e-02,2.30767264e-02,-9.81875674e-02,-1.86907470e+00,3.83841535e-02,3.40485369e-02,-1.12953294e-01,-1.84594477e+00
2612.7076,2.34652056e-02,2.12404494e-02,-9.48108513e-02,-1.88284708e+00,3.52208428e-02,3.13856014e-02,-1.08891244e-01,-1.86408476e+00
2736.6864,2.14901099e-02,1.95506434e-02,-9.02492620e-02,-1.89476567e+00,3.22914949e-02,2.89237871e-02,-1.04290863e-01,-1.88166807e+00
2866.5483,1.96845311e-02,1.79717510e-02,-8.70114754e-02,-1.90773208e+00,2.95820233e-02,2.66356506e-02,-9.96001080e-02,-1.89877305e+00
3002.5724,1.80059985e-02,1.65126022e-02,-8.29388244e-02,-1.91873255e+00,2.70786801e-02,2.45090458e-02,-9.48951076e-02,-1.90983872e+00
3145.0512,1.64763374e-02,1.51689645e-02,-7.93485107e-02,-1.93113716e+00,2.47811592e-02,2.25385458e-02,-9.04967126e-02,-1.92571073e+00
3294.2909,1.50540481e-02,1.39231651e-02,-7.51215198e-02,-1.94145056e+00,2.26507242e-02,2.07159130e-02,-8.54193978e-02,-1.92865408e+00
3450.6124,1.37619970e-02,1.27773149e-02,-7.15508161e-02,-1.95353453e+00,2.07232418e-02,1.90277883e-02,-8.18141088e-02,-1.93692089e+00
3614.3517,1.25599375e-02,1.17139097e-02,-6.73592402e-02,-1.96338873e+00,1.89271524e-02,1.74687563e-02,-7.70531156e-02,-1.94975875e+00
3785.8607,1.14714634e-02,1.07374780e-02,-6.39835887e-02,-1.97537969e+00,1.72959301e-02,1.60238716e-02,-7.35466926e-02,-1.96293652e+00
3965.5083,1.04578399e-02,9.83961436e-03,-5.91159851e-02,-1.97671794e+00,1.57775968e-02,1.46965199e-02,-6.85197501e-02,-1.97512182e+00
4153.6805,9.55035347e-03,9.00788899e-03,-5.68004613e-02,-1.97030525e+00,1.44015360e-02,1.34668782e-02,-6.48998693e-02,-1.98786139e+00
4350.7820,8.71165838e-03,8.24745242e-03,-5.32856012e-02,-2.00531503e+00,1.31217798e-02,1.23368119e-02,-5.98217524e-02,-1.99260575e+00
4557.2363,7.92991450e-03,7.54491908e-03,-4.85497561e-02,-2.00511309e+00,1.19720813e-02,1.12977221e-02,-5.63276445e-02,-1.99038772e+00
4773.4874,7.23365893e-03,6.90171101e-03,-4.58893511e-02,-1.98605190e+00,1.09104560e-02,1.03419892e-02,-5.21029422e-02,-2.00124723e+00
5000.0000,6.59619157e-03,6.31186090e-03,-4.31052786e-02,-1.98988343e+00,9.94449009e-03,9.46424947e-03,-4.82921308e-02,-1.99959913e+00
