benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
MAP_relic,485.3791,9.790946e-02,9.607653e-02,2.882296e-01,3.861390e-01,1.939860e-01,0.746440,1.990551
MAP_relic,497.5727,9.548408e-02,9.389100e-02,2.816730e-01,3.771571e-01,1.893751e-01,0.746832,1.991588
MAP_relic,510.0725,9.308768e-02,9.159736e-02,2.747921e-01,3.678798e-01,1.846850e-01,0.746962,1.991930
MAP_relic,522.8864,9.086495e-02,8.933049e-02,2.679915e-01,3.588564e-01,1.801954e-01,0.746793,1.991485
MAP_relic,536.0222,8.854072e-02,8.709043e-02,2.612713e-01,3.498120e-01,1.756311e-01,0.746891,1.991742
MAP_relic,549.4879,8.624589e-02,8.501821e-02,2.550546e-01,3.413005e-01,1.712641e-01,0.747302,1.992832
MAP_relic,563.2920,8.398040e-02,8.284558e-02,2.485367e-01,3.325171e-01,1.668260e-01,0.747440,1.993198
MAP_relic,577.4428,8.188217e-02,8.070043e-02,2.421013e-01,3.239835e-01,1.625826e-01,0.747264,1.992731
MAP_relic,591.9492,7.968832e-02,7.858274e-02,2.357482e-01,3.154365e-01,1.582711e-01,0.747371,1.993015
MAP_relic,606.8199,7.752442e-02,7.662790e-02,2.298837e-01,3.074081e-01,1.541523e-01,0.747813,1.994184
MAP_relic,622.0642,7.539049e-02,7.457731e-02,2.237319e-01,2.991224e-01,1.499678e-01,0.747961,1.994578
MAP_relic,637.6915,7.341997e-02,7.255456e-02,2.176637e-01,2.910837e-01,1.459745e-01,0.747770,1.994071
MAP_relic,653.7114,7.135783e-02,7.068068e-02,2.120421e-01,2.833999e-01,1.420385e-01,0.748208,1.995233
MAP_relic,670.1337,6.932632e-02,6.872412e-02,2.061723e-01,2.754987e-01,1.380504e-01,0.748361,1.995638
MAP_relic,686.9686,6.744571e-02,6.679565e-02,2.003870e-01,2.678327e-01,1.342414e-01,0.748180,1.995158
MAP_relic,704.2264,6.548582e-02,6.489525e-02,1.946858e-01,2.601716e-01,1.303811e-01,0.748298,1.995470
MAP_relic,721.9178,6.355718e-02,6.314236e-02,1.894271e-01,2.529843e-01,1.266995e-01,0.748770,1.996726
MAP_relic,740.0535,6.176990e-02,6.130758e-02,1.839227e-01,2.456926e-01,1.230775e-01,0.748589,1.996244
MAP_relic,758.6449,5.991281e-02,5.950109e-02,1.785033e-01,2.384161e-01,1.194139e-01,0.748705,1.996552
MAP_relic,777.7033,5.808745e-02,5.783286e-02,1.734986e-01,2.315860e-01,1.159203e-01,0.749176,1.997804
MAP_relic,797.2405,5.639598e-02,5.609136e-02,1.682741e-01,2.246701e-01,1.124873e-01,0.748983,1.997292
MAP_relic,817.2686,5.464203e-02,5.447355e-02,1.634206e-01,2.180627e-01,1.091156e-01,0.749421,1.998456
MAP_relic,837.7997,5.292014e-02,5.279637e-02,1.583891e-01,2.113093e-01,1.057165e-01,0.749561,1.998829
MAP_relic,858.8466,5.132609e-02,5.114795e-02,1.534438e-01,2.047699e-01,1.024740e-01,0.749348,1.998262
MAP_relic,880.4223,4.967526e-02,4.961814e-02,1.488544e-01,1.985297e-01,9.929340e-02,0.749784,1.999425
MAP_relic,902.5400,4.814116e-02,4.803380e-02,1.441014e-01,1.922426e-01,9.617496e-02,0.749581,1.998884
MAP_relic,925.2133,4.656077e-02,4.647847e-02,1.394354e-01,1.859962e-01,9.303924e-02,0.749668,1.999115
MAP_relic,948.4562,4.501262e-02,4.503761e-02,1.351128e-01,1.801254e-01,9.005023e-02,0.750104,2.000277
MAP_relic,972.2830,4.357741e-02,4.354622e-02,1.306387e-01,1.742161e-01,8.712362e-02,0.749866,1.999642
MAP_relic,996.7084,4.209891e-02,4.216065e-02,1.264820e-01,1.685809e-01,8.425957e-02,0.750275,2.000733
MAP_relic,1021.7473,4.072525e-02,4.073290e-02,1.221987e-01,1.629240e-01,8.145815e-02,0.750035,2.000094
MAP_relic,1047.4153,3.931553e-02,3.933456e-02,1.180037e-01,1.573192e-01,7.865009e-02,0.750091,2.000242
MAP_relic,1073.7282,3.793766e-02,3.803947e-02,1.141184e-01,1.520561e-01,7.597713e-02,0.750502,2.001340
