chi2,m_chi_GeV,m_phi_GeV,alpha,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
3.742478,56.898660,0.0058900304,7.406593e-04,2.332493e+00,2.203643e+00,2.290402e+00,2.282346e+00,2.247715e+00,2.199282e+00,6.295717e-01,5.375240e-01,5.978875e-02,4.964768e-02,4.189094e-02,2.623071e-03
5.535881,28.117687,0.0042324759,2.884870e-04,2.721501e+00,2.295881e+00,2.096194e+00,1.948681e+00,1.884814e+00,1.823871e+00,4.533580e-01,3.782449e-01,3.617514e-02,2.998773e-02,2.522475e-02,1.572110e-03
941.880958,49.417134,0.0001734623,6.146961e-06,3.676931e+01,6.218974e+00,3.489984e+00,2.215419e+00,1.829704e+00,1.530136e+00,8.188847e-02,6.504730e-02,4.983154e-03,3.970386e-03,3.203131e-03,6.498616e-05
44.123336,37.275937,0.0019575253,1.038245e-04,8.058617e+00,5.622391e+00,4.509187e+00,3.596031e+00,3.218413e+00,2.887951e+00,2.593844e-01,2.084461e-01,1.623518e-02,1.336560e-02,1.120822e-02,6.826452e-04
6.297838,28.117687,0.0042324759,1.826131e-04,1.515767e+00,1.268064e+00,1.129789e+00,1.019674e+00,9.719964e-01,9.276546e-01,1.913093e-01,1.582599e-01,1.454624e-02,1.204994e-02,1.013081e-02,6.299560e-04
9.955124,9.102982,0.0052756566,7.253035e-04,2.363634e+00,3.107240e+00,3.150790e+00,3.132004e+00,3.109733e+00,3.081617e+00,1.850724e+00,1.724995e+00,3.790329e-01,3.228341e-01,2.778354e-01,2.070687e-02
28.889155,24.420531,0.0058900304,1.328872e-03,4.758436e+00,4.373381e+00,4.134687e+00,3.998720e+00,3.970947e+00,3.963110e+00,2.655451e+00,2.393088e+00,4.055909e-01,3.428505e-01,2.932855e-01,2.047284e-02
55.791165,100.000000,0.0027241463,2.873781e-04,9.094430e+00,6.175300e+00,4.832062e+00,3.883493e+00,3.511261e+00,3.189852e+00,3.676563e-01,2.977506e-01,2.364565e-02,1.944448e-02,1.626201e-02,1.002689e-03
1.593442,75.431201,0.0091512747,2.021846e-03,1.308631e+00,1.378810e+00,1.547311e+00,1.616580e+00,1.619471e+00,1.607364e+00,6.504164e-01,5.858483e-01,1.172077e-01,1.001391e-01,8.636375e-02,6.236716e-03
4.608638,28.117687,0.0142182337,4.110166e-03,9.586056e-01,9.573042e-01,9.373098e-01,9.125836e-01,8.992617e-01,8.858779e-01,9.061321e-01,8.880540e-01,3.378315e-01,3.010250e-01,2.696589e-01,2.859743e-02
2.865426,86.851137,0.0065759507,1.402600e-03,2.200794e+00,2.960864e+00,2.910172e+00,2.698473e+00,2.577185e+00,2.456702e+00,7.691551e-01,6.812629e-01,1.053699e-01,8.857611e-02,7.537367e-02,4.964048e-03
22.082980,42.919343,0.0065759507,2.112093e-03,4.103283e+00,3.747227e+00,4.099968e+00,4.443542e+00,4.558060e+00,4.631360e+00,2.294175e+00,2.068737e+00,4.254412e-01,3.644105e-01,3.151709e-01,2.332489e-02
89.015505,75.431201,0.0001246471,2.930002e-06,1.117775e+01,1.760553e+00,9.752762e-01,6.161765e-01,5.055966e-01,4.234204e-01,2.313713e-02,1.840295e-02,9.283353e-04,7.040765e-04,5.543798e-04,7.450144e-06
73.603516,42.919343,0.0012599210,4.726577e-05,1.038577e+01,4.859196e+00,3.283662e+00,2.325591e+00,1.989038e+00,1.717583e+00,1.156114e-01,9.200002e-02,6.842030e-03,5.630647e-03,4.713762e-03,2.926687e-04
95.205954,86.851137,0.0015704545,8.607446e-05,1.182664e+01,5.120351e+00,3.440254e+00,2.438618e+00,2.087906e+00,1.804965e+00,1.211758e-01,9.624324e-02,7.096633e-03,5.842459e-03,4.881542e-03,3.080350e-04
11.044034,86.851137,0.0027241463,6.828992e-05,1.723755e+00,9.322535e-01,6.557403e-01,4.766636e-01,4.116134e-01,3.582791e-01,2.546080e-02,2.030139e-02,1.523289e-03,1.248973e-03,1.045041e-03,6.471105e-05
6.416967,28.117687,0.0052756566,2.467968e-04,1.090031e+00,9.782075e-01,8.899112e-01,8.148009e-01,7.824379e-01,7.528368e-01,2.030690e-01,1.706283e-01,1.694802e-02,1.406323e-02,1.185644e-02,7.468994e-04
11.865268,65.512856,0.0030413853,5.791898e-05,9.890275e-01,5.732155e-01,4.264284e-01,3.220998e-01,2.821755e-01,2.485852e-01,1.930524e-02,1.546878e-02,1.182807e-03,9.737306e-04,8.153169e-04,4.988238e-05
5.485290,75.431201,0.0052756566,3.782162e-04,1.632434e+00,1.588455e+00,1.502306e+00,1.363141e+00,1.288688e+00,1.215274e+00,2.041561e-01,1.681411e-01,1.487641e-02,1.230247e-02,1.030770e-02,6.295634e-04
57.955006,37.275937,0.0015704545,6.954423e-05,9.230587e+00,5.540384e+00,4.111656e+00,3.097541e+00,2.710696e+00,2.385829e+00,1.837195e-01,1.471290e-01,1.119252e-02,9.201937e-03,7.695212e-03,4.734950e-04
2.750626,65.512856,0.0081967290,2.267817e-03,1.981411e+00,2.088166e+00,2.361798e+00,2.483400e+00,2.494107e+00,2.480699e+00,1.033015e+00,9.349994e-01,2.025740e-01,1.740144e-01,1.508394e-01,1.129205e-02
12.496825,75.431201,0.0019575253,4.337351e-05,2.433808e+00,1.043878e+00,6.884242e-01,4.803567e-01,4.086692e-01,3.513778e-01,2.295012e-02,1.822672e-02,1.351208e-03,1.109564e-03,9.283920e-04,5.801393e-05
20.738618,28.117687,0.0027241463,1.696617e-04,5.605525e+00,4.271480e+00,3.815268e+00,3.403354e+00,3.205339e+00,3.013835e+00,4.384827e-01,3.573023e-01,3.034871e-02,2.503244e-02,2.100418e-02,1.278613e-03
3.338728,65.512856,0.0065759507,7.408748e-04,1.654339e+00,1.589915e+00,1.651946e+00,1.638465e+00,1.609579e+00,1.571205e+00,4.407466e-01,3.761266e-01,4.167503e-02,3.464351e-02,2.917502e-02,1.830843e-03
5.513967,65.512856,0.0047253666,4.671761e-04,2.728094e+00,2.787197e+00,2.686222e+00,2.471549e+00,2.350645e+00,2.229232e+00,4.226827e-01,3.510696e-01,3.258794e-02,2.691024e-02,2.257174e-02,1.380020e-03
1306.639797,37.275937,0.0003008917,1.109016e-05,4.321572e+01,8.581148e+00,4.938776e+00,3.194149e+00,2.646383e+00,2.228508e+00,1.221837e-01,9.672442e-02,7.220509e-03,5.953687e-03,4.989731e-03,2.151698e-04
48.245435,100.000000,0.0019575253,1.095426e-04,8.366289e+00,4.021462e+00,2.794537e+00,2.030096e+00,1.755006e+00,1.529796e+00,1.094980e-01,8.715542e-02,6.467042e-03,5.312246e-03,4.455830e-03,2.793546e-04
3.390124,28.117687,0.0114067946,2.400917e-03,1.161374e+00,1.147790e+00,1.113840e+00,1.074835e+00,1.055601e+00,1.037699e+00,9.349314e-01,8.896829e-01,2.455414e-01,2.131458e-01,1.864633e-01,1.554997e-02
103.234997,56.898660,0.0002413949,5.309493e-06,1.211717e+01,2.077107e+00,1.170202e+00,7.462274e-01,6.150811e-01,5.153277e-01,2.764965e-02,2.194670e-02,1.669160e-03,1.378886e-03,1.157251e-03,2.754033e-05
2.310105,12.067926,0.0081967290,9.419270e-04,7.832979e-01,1.098003e+00,1.126269e+00,1.129543e+00,1.126168e+00,1.120544e+00,7.357197e-01,6.950968e-01,1.858502e-01,1.598201e-01,1.386257e-01,1.088303e-02
10.235137,42.919343,0.0081967290,2.657346e-03,2.709848e+00,2.395611e+00,2.465737e+00,2.662711e+00,2.762296e+00,2.849161e+00,1.797127e+00,1.635109e+00,3.896680e-01,3.378639e-01,2.952789e-01,2.387097e-02
4.365290,37.275937,0.0142182337,2.868374e-03,6.881104e-01,6.679225e-01,6.446182e-01,6.199192e-01,6.088760e-01,5.995558e-01,5.830860e-01,5.533523e-01,1.588081e-01,1.387657e-01,1.221166e-01,1.073092e-02
2.915861,65.512856,0.0114067946,5.084610e-03,1.386290e+00,1.310317e+00,1.525860e+00,1.713440e+00,1.775506e+00,1.817075e+00,9.675989e-01,8.975941e-01,3.095277e-01,2.781809e-01,2.512493e-01,2.870174e-02
8.626196,100.000000,0.0052756566,1.139336e-03,3.692857e+00,4.318156e+00,3.782671e+00,3.286545e+00,3.076674e+00,2.891309e+00,8.303542e-01,7.263343e-01,9.694871e-02,8.094553e-02,6.842930e-02,4.362895e-03
331.941083,56.898660,0.0001734623,5.047988e-06,2.193206e+01,3.642476e+00,2.032844e+00,1.291739e+00,1.065279e+00,8.893098e-01,4.772207e-02,3.791129e-02,2.756811e-03,2.173562e-03,1.740718e-03,2.986821e-05
11.760843,32.374575,0.0073417495,1.797964e-03,3.077340e+00,2.777775e+00,2.651691e+00,2.638630e+00,2.663863e+00,2.700220e+00,1.925225e+00,1.745155e+00,3.383847e-01,2.885503e-01,2.485895e-01,1.815843e-02
134.860781,100.000000,0.0014066445,8.120254e-05,1.406647e+01,5.357994e+00,3.515429e+00,2.455327e+00,2.090880e+00,1.799415e+00,1.158101e-01,9.206985e-02,6.777245e-03,5.580397e-03,4.674347e-03,2.768904e-04
7.872758,100.000000,0.0042324759,2.274611e-04,1.835328e+00,1.592576e+00,1.312922e+00,1.075459e+00,9.756492e-01,8.872566e-01,9.652182e-02,7.803710e-02,6.210255e-03,5.109371e-03,4.274753e-03,2.615018e-04
