bp,m_chi_GeV,m_phi_MeV,alpha,lambda,kappa,v_km_s,sigma_maj,sigma_dir,R,n_resonances,res_even,res_odd,dominant_l,n_partialwaves
BP9,48.329,8.657,0.00235,13.119227214970545,0.8763300063672081,94.1191485533916,2.2566444852641716,1.1581666972778266,1.9484625922746912,1,1,0,1,34
BP9,48.329,8.657,0.00235,13.119227214970545,0.9991671873289296,107.31204483540202,2.1849312700435624,1.0825884009857196,2.018247441090387,1,1,0,1,34
BP9,48.329,8.657,0.00235,13.119227214970545,1.1392227368470051,122.35421955844241,2.0800419820617173,1.007088022421541,2.0654023637976158,1,1,0,1,35
BP9,48.329,8.657,0.00235,13.119227214970545,1.2989101930165061,139.50489031047482,1.9507012432069268,0.9322310488600706,2.09250833856289,0,0,0,1,35
BP9,48.329,8.657,0.00235,13.119227214970545,1.4809814050865113,159.0596098015386,1.8059163384716648,0.8585090139965331,2.1035496529789,0,0,0,1,35
BP9,48.329,8.657,0.00235,13.119227214970545,1.6885739553081986,181.3553590409013,1.6537617755563845,0.7863702225547544,2.1030320428253937,0,0,0,1,35
BP9,48.329,8.657,0.00235,13.119227214970545,1.925265228011838,206.7763544364993,1.5006877060040396,0.7162260695634758,2.095270990231724,0,0,0,1,35
BP9,48.329,8.657,0.00235,13.119227214970545,2.195134057669943,235.7606688887855,1.3512970420701589,0.6484491668206105,2.0838904747085394,0,0,0,1,36
BP9,48.329,8.657,0.00235,13.119227214970545,2.5028310183104208,268.80778097844393,1.2084882274313178,0.5833728472813269,2.0715537808507807,1,0,1,1,36
BP9,48.329,8.657,0.00235,13.119227214970545,2.853658565557479,306.48718234100744,1.0738135915835136,0.5212904423232859,2.059914213653609,1,0,1,2,36
BP9,48.329,8.657,0.00235,13.119227214970545,3.2536624123656943,349.4481915568608,0.9479282499930413,0.46245924409627687,2.0497552207988674,1,0,1,2,37
BP9,48.329,8.657,0.00235,13.119227214970545,3.7097357130996667,398.43114367664646,0.8309898947263965,0.4071016385303159,2.041234463527011,1,0,1,2,37
BP9,48.329,8.657,0.00235,13.119227214970545,4.2297378513343755,454.28014820803486,0.722953989734529,0.35540654943116,2.034160571581027,1,0,1,2,38
BP9,48.329,8.657,0.00235,13.119227214970545,4.822629878413143,517.957635418675,0.6237298408200226,0.3075352108599033,2.028157488295416,1,0,1,2,38
BP9,48.329,8.657,0.00235,13.119227214970545,5.49862893673799,590.560941627693,0.533270176710432,0.26361687448830806,2.022898487608325,1,0,1,2,39
