bp,m_chi_GeV,m_phi_MeV,alpha,lambda,v_km_s,sigma_m_maj,sigma_m_dir,R_v,kappa,regime
BP16,14.384,5.047,0.0007555,2.1531824846443435,110,3.1763809506508,2.8299939695437635,1.122398487358925,0.5228635367409592,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,120,3.095522881230438,2.6764452049939726,1.1565799574205775,0.5703965855355918,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,130,3.018997638280612,2.533190989775379,1.191776557893217,0.6179296343302245,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,140,2.9444679606370823,2.3995701630109565,1.2270814190081416,0.6654626831248571,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,150,2.870506894942401,2.2749033907466005,1.261814856234545,0.7129957319194897,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,160,2.796372369249897,2.158532018819744,1.295497284667992,0.7605287807141224,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,170,2.7217957348633406,2.049834070519949,1.3278127112859166,0.8080618295087552,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,180,2.64681074490366,1.948229749590063,1.358572183522292,0.8555948783033877,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,190,2.571626725818698,1.8531822224324457,1.3876815213796072,0.9031279270980205,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,200,2.496540249290717,1.7641963034309767,1.4151147717719912,0.9506609758926531,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,225,2.31136523026953,1.5653502132622674,1.4765802634367233,1.0694935978792346,few-ℓ
