v_km_s,BP1_S0,BP1_sigmaT_Maj,BP1_sigmaT_Dir,BP1_Phi_Maj,BP1_Phi_Dir,MAP_S0,MAP_sigmaT_Maj,MAP_sigmaT_Dir,MAP_Phi_Maj,MAP_Phi_Dir
2260.2515,1.48004514e+00,1.71547796e-02,1.76129952e-02,8.62759631e+01,8.40314279e+01,2.63050450e+00,9.31957117e-02,9.21098692e-02,2.82255960e+01,2.85583350e+01
2317.0328,1.46724455e+00,1.63647680e-02,1.67906154e-02,8.96587440e+01,8.73847989e+01,2.58175727e+00,8.97181524e-02,8.86437248e-02,2.87763090e+01,2.91250991e+01
2375.2405,1.45480785e+00,1.56085797e-02,1.59928946e-02,9.32056524e+01,9.09658873e+01,2.53453274e+00,8.63581658e-02,8.53564972e-02,2.93490803e+01,2.96934952e+01
2434.9105,1.44272370e+00,1.48856572e-02,1.52437728e-02,9.69203903e+01,9.46434799e+01,2.48878528e+00,8.30720102e-02,8.20823516e-02,2.99593723e+01,3.03205894e+01
2496.0795,1.43098115e+00,1.41946420e-02,1.45175877e-02,1.00811359e+02,9.85687961e+01,2.44447026e+00,7.99022450e-02,7.89782466e-02,3.05932613e+01,3.09511842e+01
2558.7852,1.41956962e+00,1.35342192e-02,1.38356492e-02,1.04887441e+02,1.02602313e+02,2.40154405e+00,7.68035180e-02,7.58922486e-02,3.12686725e+01,3.16441283e+01
2623.0662,1.40847891e+00,1.29031171e-02,1.31748709e-02,1.09158035e+02,1.06906467e+02,2.35996405e+00,7.38196784e-02,7.28991705e-02,3.19693082e+01,3.23729891e+01
2688.9620,1.39769917e+00,1.23046059e-02,1.25544550e-02,1.13591543e+02,1.11330931e+02,2.31968867e+00,7.09038691e-02,7.00657310e-02,3.27159674e+01,3.31073213e+01
2756.5132,1.38722088e+00,1.17289977e-02,1.19534256e-02,1.18272756e+02,1.16052161e+02,2.28067733e+00,6.80647866e-02,6.72537859e-02,3.35074485e+01,3.39115085e+01
2825.7614,1.37703486e+00,1.11791813e-02,1.13892776e-02,1.23178507e+02,1.20906252e+02,2.24289050e+00,6.53509504e-02,6.45937377e-02,3.43207020e+01,3.47230332e+01
2896.7492,1.36713224e+00,1.06540529e-02,1.08427835e-02,1.28320391e+02,1.26086833e+02,2.20628963e+00,6.26990741e-02,6.20167162e-02,3.51885520e+01,3.55757248e+01
2969.5204,1.35750443e+00,1.01543272e-02,1.03300405e-02,1.33687284e+02,1.31413273e+02,2.17083722e+00,6.01581435e-02,5.94659815e-02,3.60855089e+01,3.65055309e+01
3044.1197,1.34814315e+00,9.67559753e-03,9.83328541e-03,1.39334356e+02,1.37099972e+02,2.13649678e+00,5.77135372e-02,5.70548904e-02,3.70189886e+01,3.74463392e+01
3120.5931,1.33904040e+00,9.21849205e-03,9.36745927e-03,1.45255904e+02,1.42945954e+02,2.10323279e+00,5.53143860e-02,5.46711041e-02,3.80232512e+01,3.84706478e+01
3198.9876,1.33018844e+00,8.78206360e-03,8.91603759e-03,1.51466501e+02,1.49190538e+02,2.07101075e+00,5.30209690e-02,5.24201213e-02,3.90602208e+01,3.95079352e+01
3279.3515,1.32157980e+00,8.36540226e-03,8.49299534e-03,1.57981620e+02,1.55608209e+02,2.03979715e+00,5.07818842e-02,5.02455302e-02,4.01678114e+01,4.05965891e+01
3361.7343,1.15397772e+00,7.97433919e-03,8.08286600e-03,1.44711392e+02,1.42768385e+02,2.00955941e+00,4.86455490e-02,4.81458975e-02,4.13102421e+01,4.17389541e+01
3446.1867,1.15003333e+00,7.59517081e-03,7.69880905e-03,1.51416388e+02,1.49378082e+02,1.98026594e+00,4.65598790e-02,4.60758526e-02,4.25315956e+01,4.29783896e+01
3532.7606,1.14619384e+00,7.23326868e-03,7.33253836e-03,1.58461394e+02,1.56316105e+02,1.95188609e+00,4.45737520e-02,4.41237276e-02,4.37900334e+01,4.42366545e+01
3621.5095,1.14245629e+00,6.89018969e-03,6.97771323e-03,1.65809120e+02,1.63729327e+02,1.92439012e+00,4.26720601e-02,4.22416830e-02,4.50971928e+01,4.55566631e+01
3712.4878,1.13881781e+00,6.56070739e-03,6.64534932e-03,1.73581557e+02,1.71370646e+02,1.89774921e+00,4.08040568e-02,4.04282407e-02,4.65088365e+01,4.69411770e+01
3805.7517,1.13527560e+00,6.24627312e-03,6.32848237e-03,1.81752475e+02,1.79391445e+02,1.87193541e+00,3.90294768e-02,3.86816780e-02,4.79620934e+01,4.83933353e+01
3901.3586,1.13182697e+00,5.94620796e-03,6.02161003e-03,1.90344330e+02,1.87960855e+02,1.84692167e+00,3.73336118e-02,3.70003148e-02,4.94707473e+01,4.99163772e+01
3999.3672,1.12846930e+00,5.66758781e-03,5.73418519e-03,1.99109275e+02,1.96796801e+02,1.82268179e+00,3.56670907e-02,3.53824522e-02,5.11026202e+01,5.15137215e+01
4099.8380,1.12520005e+00,5.39483115e-03,5.45556557e-03,2.08570021e+02,2.06248103e+02,1.79919038e+00,3.40877383e-02,3.38263777e-02,5.27811605e+01,5.31889758e+01
4202.8327,1.12201675e+00,5.13458148e-03,5.18993851e-03,2.18521560e+02,2.16190760e+02,1.77642290e+00,3.25812232e-02,3.23303710e-02,5.45229037e+01,5.49459484e+01
4308.4149,1.11891703e+00,4.88890288e-03,4.94196184e-03,2.28868737e+02,2.26411507e+02,1.75435557e+00,3.10998671e-02,3.08927096e-02,5.64103879e+01,5.67886595e+01
4416.6495,1.11589855e+00,4.65213495e-03,4.70082200e-03,2.39868053e+02,2.37383707e+02,1.73296540e+00,2.97106367e-02,2.95116734e-02,5.83281139e+01,5.87213535e+01
4527.6031,1.11295909e+00,4.42624117e-03,4.47093150e-03,2.51445650e+02,2.48932261e+02,1.71223017e+00,2.83659238e-02,2.81855490e-02,6.03622214e+01,6.07485123e+01
4641.3441,1.11009645e+00,4.21874872e-03,4.25711162e-03,2.63134054e+02,2.60762825e+02,1.69212838e+00,2.70860688e-02,2.69126343e-02,6.24722765e+01,6.28748698e+01
4757.9424,1.10730853e+00,4.01354437e-03,4.04843352e-03,2.75892933e+02,2.73515305e+02,1.67263923e+00,2.58581133e-02,2.56912416e-02,6.46852775e+01,6.51054261e+01
4877.4698,1.10459327e+00,3.81778703e-03,3.84949274e-03,2.89328153e+02,2.86945150e+02,1.65374264e+00,2.46500306e-02,2.45436911e-02,6.70888677e+01,6.73795412e+01
5000.0000,1.10194868e+00,3.63374098e-03,3.66522632e-03,3.03254605e+02,3.00649562e+02,1.63541920e+00,2.35217930e-02,2.34194715e-02,6.95278286e+01,6.98316013e+01
