alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
7.541132e-03,1.839875e-05,409.872,49.3522,0.882030,0.984787,1.257123,1.019948,0.631493,0.280509,0.165436
7.607647e-03,1.823789e-05,417.134,49.7875,0.885576,0.990709,1.263995,1.023658,0.634273,0.281274,0.166331
7.674749e-03,1.807843e-05,424.525,50.2267,0.889129,0.996661,1.270884,1.027362,0.637064,0.282014,0.167218
7.742442e-03,1.792037e-05,432.047,50.6697,0.892689,1.002642,1.277789,1.031060,0.639867,0.282729,0.168096
7.810733e-03,1.776369e-05,439.702,51.1166,0.896256,1.008653,1.284710,1.034752,0.642681,0.283419,0.168965
7.879626e-03,1.760837e-05,447.493,51.5675,0.899830,1.014694,1.291648,1.038438,0.645506,0.284082,0.169825
7.949126e-03,1.745442e-05,455.422,52.0223,0.903412,1.020765,1.298601,1.042118,0.648342,0.284718,0.170674
8.019240e-03,1.730181e-05,463.491,52.4811,0.907000,1.026865,1.305571,1.045791,0.651189,0.285327,0.171513
8.089972e-03,1.715054e-05,471.704,52.9440,0.910596,1.032995,1.312556,1.049458,0.654047,0.285907,0.172341
8.161328e-03,1.700059e-05,480.061,53.4110,0.914198,1.039155,1.319557,1.053120,0.656915,0.286459,0.173159
8.233313e-03,1.685195e-05,488.567,53.8821,0.917808,1.045345,1.326574,1.056775,0.659794,0.286982,0.173964
8.305933e-03,1.670461e-05,497.224,54.3574,0.921425,1.051564,1.333606,1.060424,0.662683,0.287474,0.174758
8.379194e-03,1.655856e-05,506.034,54.8368,0.925049,1.057814,1.340653,1.064067,0.665582,0.287937,0.175539
8.453101e-03,1.641379e-05,515.000,55.3205,0.928680,1.064093,1.347716,1.067705,0.668491,0.288369,0.176307
8.527660e-03,1.627028e-05,524.125,55.8085,0.932318,1.070402,1.354794,1.071336,0.671410,0.288769,0.177062
8.602876e-03,1.612803e-05,533.412,56.3007,0.935964,1.076740,1.361887,1.074962,0.674338,0.289138,0.177804
8.678756e-03,1.598702e-05,542.863,56.7973,0.939616,1.083109,1.368995,1.078581,0.677275,0.289475,0.178532
8.755305e-03,1.584724e-05,552.481,57.2983,0.943275,1.089507,1.376119,1.082195,0.680221,0.289779,0.179246
8.832529e-03,1.570868e-05,562.271,57.8036,0.946942,1.095935,1.383257,1.085803,0.683176,0.290051,0.179945
8.910435e-03,1.557134e-05,572.233,58.3135,0.950615,1.102392,1.390409,1.089406,0.686139,0.290289,0.180629
8.989027e-03,1.543520e-05,582.372,58.8278,0.954295,1.108879,1.397577,1.093003,0.689110,0.290494,0.181297
