chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1100,sigma_m_1200,sigma_m_1500,sigma_m_4700
3.1274,0.3127,86.851137,9.151275,2.187538e-03,20.7611,0,,1.254436e+00,1.529078e+00,1.668419e+00,1.671666e+00,1.642311e+00,1.600813e+00,5.171242e-01,4.945703e-01,8.497853e-02,7.339864e-02,4.963391e-02,5.637420e-03
3.1286,0.3129,86.851137,8.196729,1.905096e-03,20.1861,0,,1.511424e+00,1.945046e+00,2.051569e+00,1.996998e+00,1.938803e+00,1.877291e+00,6.048896e-01,5.253267e-01,8.403002e-02,7.254349e-02,4.871257e-02,5.179002e-03
3.1288,0.3129,75.431201,9.151275,2.078790e-03,17.1348,0,,1.329903e+00,1.410311e+00,1.584633e+00,1.654922e+00,1.657093e+00,1.643584e+00,6.119708e-01,5.337993e-01,9.116806e-02,7.878462e-02,5.295835e-02,5.868852e-03
3.1296,0.3130,100.000000,9.151275,2.364762e-03,25.8408,0,,1.200058e+00,1.666227e+00,1.721314e+00,1.641997e+00,1.585467e+00,1.520293e+00,4.899061e-01,4.399778e-01,8.421208e-02,7.149636e-02,4.943715e-02,5.450997e-03
3.1296,0.3130,65.512856,9.151275,2.137811e-03,15.3043,0,,1.463383e+00,1.403425e+00,1.573253e+00,1.691373e+00,1.720835e+00,1.733095e+00,7.359366e-01,6.619142e-01,1.105683e-01,9.597591e-02,6.351302e-02,7.174055e-03
3.1353,0.3135,86.851137,9.151275,2.182885e-03,20.7169,0,,1.252977e+00,1.526422e+00,1.665571e+00,1.668940e+00,1.639699e+00,1.598330e+00,5.163654e-01,4.937253e-01,8.468919e-02,7.314137e-02,4.944903e-02,5.613808e-03
3.1412,0.3141,100.000000,10.216981,2.909638e-03,28.4785,0,,1.026715e+00,1.385546e+00,1.481864e+00,1.450982e+00,1.410259e+00,1.360778e+00,4.776180e-01,4.186668e-01,8.974483e-02,7.956332e-02,5.650843e-02,6.860054e-03
3.1418,0.3142,100.000000,9.151275,2.357085e-03,25.7569,0,,1.197976e+00,1.662069e+00,1.717306e+00,1.638464e+00,1.582165e+00,1.517233e+00,4.887806e-01,4.389201e-01,8.378733e-02,7.112577e-02,4.916178e-02,5.416275e-03
3.1466,0.3147,75.431201,8.196729,1.883571e-03,17.3337,0,,1.636586e+00,1.864490e+00,2.051708e+00,2.083795e+00,2.060467e+00,2.020584e+00,6.742839e-01,6.315834e-01,9.552616e-02,8.273205e-02,5.517841e-02,6.030019e-03
3.1472,0.3147,86.851137,9.151275,2.175930e-03,20.6509,0,,1.250792e+00,1.522446e+00,1.661307e+00,1.664859e+00,1.635787e+00,1.594611e+00,5.152274e-01,4.924593e-01,8.425688e-02,7.275706e-02,4.917300e-02,5.578595e-03
3.1544,0.3154,75.431201,8.196729,1.873577e-03,17.2418,0,,1.631595e+00,1.856192e+00,2.042439e+00,2.074630e+00,2.051555e+00,2.011993e+00,6.713934e-01,6.285496e-01,9.467253e-02,8.197450e-02,5.464884e-02,5.966856e-03
3.1619,0.3162,100.000000,9.151275,2.344578e-03,25.6202,0,,1.194576e+00,1.655280e+00,1.710758e+00,1.632687e+00,1.576764e+00,1.512227e+00,4.869408e-01,4.371911e-01,8.309583e-02,7.052263e-02,4.871405e-02,5.359938e-03
3.1657,0.3166,75.431201,8.196729,1.860113e-03,17.1179,0,,1.624842e+00,1.844992e+00,2.029918e+00,2.062241e+00,2.039504e+00,2.000372e+00,6.674734e-01,6.244416e-01,9.352535e-02,8.095694e-02,5.393822e-02,5.882273e-03
3.1686,0.3169,100.000000,8.196729,2.023523e-03,24.6870,0,,1.453772e+00,2.056629e+00,2.046271e+00,1.906195e+00,1.819181e+00,1.729900e+00,5.320800e-01,4.589504e-01,8.096049e-02,6.976665e-02,4.694549e-02,4.738126e-03
