chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
34.2251,3.4225,75.431201,0.155369,2.760334e-06,1.3401,0,,6.351097e+00,1.015403e+00,5.637412e-01,3.563931e-01,2.929154e-01,2.448761e-01,1.327529e-02,1.055192e-02,6.195659e-04,4.789363e-04,3.789207e-04,5.322555e-06
34.2304,3.4230,24.420531,15.874011,1.170910e-02,18.0132,0,,1.528553e+00,1.512353e+00,1.487525e+00,1.456545e+00,1.439171e+00,1.420952e+00,1.758781e+00,1.774838e+00,9.139543e-01,8.456776e-01,7.864343e-01,1.674180e-01
34.2350,3.4235,9.102982,6.575951,1.428223e-03,1.9771,0,,2.631439e+00,3.555501e+00,3.627968e+00,3.632377e+00,3.621271e+00,3.604229e+00,2.563762e+00,2.463357e+00,8.071360e-01,7.017100e-01,6.142280e-01,5.129390e-02
34.2624,3.4262,42.919343,7.341750,3.268942e-03,19.1100,0,,4.048489e+00,3.686909e+00,4.094581e+00,4.540796e+00,4.706567e+00,4.826963e+00,2.648109e+00,2.421109e+00,6.578671e-01,5.770195e-01,5.094032e-01,4.477623e-02
34.2901,3.4290,5.963623,8.196729,1.912012e-03,1.3911,0,,7.852601e-01,1.805760e+00,2.033663e+00,2.157901e+00,2.197764e+00,2.227755e+00,1.979950e+00,1.905777e+00,9.343597e-01,8.479748e-01,7.703793e-01,8.670278e-02
34.3170,3.4317,13.894955,3.041385,2.924232e-04,1.3360,0,,6.729747e+00,6.320758e+00,5.839593e+00,5.392341e+00,5.193733e+00,5.011608e+00,1.589210e+00,1.352149e+00,1.435319e-01,1.193542e-01,1.007396e-01,6.438771e-03
34.3754,3.4375,32.374575,15.874011,1.616559e-02,32.9692,0,,1.620507e+00,1.559503e+00,1.506277e+00,1.448231e+00,1.423593e+00,1.406333e+00,2.016704e+00,1.932183e+00,8.753192e-01,8.215303e-01,7.735076e-01,2.026143e-01
34.4139,3.4414,28.117687,15.874011,1.372207e-02,24.3060,0,,1.585220e+00,1.546259e+00,1.509476e+00,1.465079e+00,1.441622e+00,1.418908e+00,1.945227e+00,1.914787e+00,8.888397e-01,8.279522e-01,7.748652e-01,1.849747e-01
34.4365,3.4436,7.906043,30.742045,4.311342e-02,11.0876,0,,3.072319e-01,7.104988e-01,8.106315e-01,8.629422e-01,8.789518e-01,8.906982e-01,9.011763e-01,8.931242e-01,8.414212e-01,8.668384e-01,8.904237e-01,5.984980e-01
34.4382,3.4438,24.420531,14.218234,8.893661e-03,15.2753,0,,1.721258e+00,1.697773e+00,1.664954e+00,1.624516e+00,1.602331e+00,1.579675e+00,1.923134e+00,1.916634e+00,9.052102e-01,8.313423e-01,7.672040e-01,1.341798e-01
34.4400,3.4440,75.431201,0.905358,2.134800e-05,1.7786,0,,6.548082e+00,1.614014e+00,9.559694e-01,6.278649e-01,5.231804e-01,4.424838e-01,2.529841e-02,2.003349e-02,1.475662e-03,1.216115e-03,1.019468e-03,5.638246e-05
34.5279,3.4528,12.067926,3.790997,4.887834e-04,1.5560,0,,5.862774e+00,6.037385e+00,5.793728e+00,5.501952e+00,5.354411e+00,5.211155e+00,2.389454e+00,2.114741e+00,2.854974e-01,2.388829e-01,2.026881e-01,1.357896e-02
34.5294,3.4529,7.906043,19.786487,1.140565e-02,4.5573,0,,3.277779e-01,8.266884e-01,9.504095e-01,1.017608e+00,1.039075e+00,1.055310e+00,1.055502e+00,1.038259e+00,8.907997e-01,8.817030e-01,8.685977e-01,2.802189e-01
34.5341,3.4534,86.851137,0.582715,1.242600e-05,1.8520,0,,6.457913e+00,1.245436e+00,7.133658e-01,4.601621e-01,3.805456e-01,3.200181e-01,1.742993e-02,1.376937e-02,1.033485e-03,8.523235e-04,7.158309e-04,2.648622e-05
34.5897,3.4590,42.919343,3.395568,4.121566e-04,5.2096,0,,6.875535e+00,6.493323e+00,6.303910e+00,5.864326e+00,5.602787e+00,5.333119e+00,9.954518e-01,8.238755e-01,7.515779e-02,6.207553e-02,5.208522e-02,3.186458e-03
34.6560,3.4656,100.000000,2.439998,1.650725e-04,6.7653,0,,7.100433e+00,4.224457e+00,3.128774e+00,2.387323e+00,2.106419e+00,1.869680e+00,1.584758e-01,1.269249e-01,9.580704e-03,7.891368e-03,6.594883e-03,4.098222e-04
34.7159,3.4716,18.420700,2.724146,2.148812e-04,1.4530,0,,7.099044e+00,5.927285e+00,5.324962e+00,4.856162e+00,4.652234e+00,4.460500e+00,9.661954e-01,8.007472e-01,7.416068e-02,6.143468e-02,5.164497e-02,3.206269e-03
34.7415,3.4742,37.275937,9.151275,4.784604e-03,19.4892,0,,3.113702e+00,2.787974e+00,2.737395e+00,2.896912e+00,3.019526e+00,3.148460e+00,2.604440e+00,2.401234e+00,7.800208e-01,6.991158e-01,6.297688e-01,6.980655e-02
34.7570,3.4757,42.919343,4.232476,7.818561e-04,7.9284,0,,6.403494e+00,6.295073e+00,6.563677e+00,6.502708e+00,6.382099e+00,6.224271e+00,1.763121e+00,1.508575e+00,1.703864e-01,1.416937e-01,1.195745e-01,7.487797e-03
34.7700,3.4770,56.898660,3.395568,4.572303e-04,7.6617,0,,6.812087e+00,7.356466e+00,6.773566e+00,6.018692e+00,5.648729e+00,5.297878e+00,9.234270e-01,7.646015e-01,6.922060e-02,5.720330e-02,4.793530e-02,2.931196e-03
34.7812,3.4781,7.906043,4.232476,6.374506e-04,1.1907,0,,4.091660e+00,5.220627e+00,5.262852e+00,5.205949e+00,5.156785e+00,5.098286e+00,2.912361e+00,2.693108e+00,5.390415e-01,4.572936e-01,3.922899e-01,2.863700e-02
34.7912,3.4791,56.898660,7.341750,4.227702e-03,32.7648,0,,3.907074e+00,4.654260e+00,5.337737e+00,5.558801e+00,5.544018e+00,5.473355e+00,2.395840e+00,2.224043e+00,6.988820e-01,6.217540e-01,5.561721e-01,5.572203e-02
34.8054,3.4805,5.963623,27.535422,2.953583e-02,6.3969,0,,1.697259e-01,5.334680e-01,6.857124e-01,7.912027e-01,8.301291e-01,8.619205e-01,1.005536e+00,1.000785e+00,8.499454e-01,8.502609e-01,8.545564e-01,6.123919e-01
