v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
62.2687,4.956542e-01,-0.1536,1.728676e+00,-0.4690
63.2014,4.945065e-01,-0.1583,1.716470e+00,-0.4840
64.1480,4.933268e-01,-0.1630,1.703976e+00,-0.4985
65.1088,4.921152e-01,-0.1678,1.691215e+00,-0.5125
66.0840,4.908716e-01,-0.1726,1.678209e+00,-0.5258
67.0738,4.895963e-01,-0.1774,1.664979e+00,-0.5386
68.0784,4.882893e-01,-0.1822,1.651546e+00,-0.5508
69.0981,4.869508e-01,-0.1870,1.637932e+00,-0.5624
70.1331,4.855812e-01,-0.1919,1.624157e+00,-0.5734
71.1835,4.841806e-01,-0.1967,1.610243e+00,-0.5837
72.2497,4.827493e-01,-0.2015,1.596210e+00,-0.5934
73.3318,4.812879e-01,-0.2063,1.582079e+00,-0.6025
74.4302,4.797966e-01,-0.2111,1.567869e+00,-0.6109
75.5450,4.782759e-01,-0.2159,1.553601e+00,-0.6187
76.6765,4.767263e-01,-0.2206,1.539292e+00,-0.6257
77.8250,4.751485e-01,-0.2253,1.524963e+00,-0.6321
78.9906,4.735430e-01,-0.2300,1.510631e+00,-0.6378
80.1738,4.719106e-01,-0.2346,1.496315e+00,-0.6428
81.3746,4.702518e-01,-0.2391,1.482031e+00,-0.6472
82.5934,4.685675e-01,-0.2436,1.467796e+00,-0.6508
83.8305,4.668585e-01,-0.2479,1.453627e+00,-0.6538
85.0861,4.651257e-01,-0.2523,1.439539e+00,-0.6560
86.3605,4.633700e-01,-0.2565,1.425547e+00,-0.6576
87.6540,4.615924e-01,-0.2606,1.411665e+00,-0.6585
88.9669,4.597937e-01,-0.2646,1.397907e+00,-0.6587
90.2995,4.579752e-01,-0.2685,1.384286e+00,-0.6583
91.6520,4.561378e-01,-0.2723,1.370812e+00,-0.6572
93.0247,4.542827e-01,-0.2759,1.357499e+00,-0.6554
94.4180,4.524110e-01,-0.2794,1.344355e+00,-0.6531
95.8322,4.505238e-01,-0.2828,1.331392e+00,-0.6502
97.2676,4.486224e-01,-0.2861,1.318616e+00,-0.6466
98.7245,4.467080e-01,-0.2892,1.306037e+00,-0.6426
100.2032,4.447817e-01,-0.2921,1.293662e+00,-0.6380
101.7040,4.428449e-01,-0.2949,1.281495e+00,-0.6329
103.2273,4.408986e-01,-0.2975,1.269543e+00,-0.6274
104.7734,4.389442e-01,-0.3000,1.257810e+00,-0.6215
106.3427,4.369829e-01,-0.3023,1.246299e+00,-0.6152
107.9355,4.350158e-01,-0.3045,1.235012e+00,-0.6085
109.5522,4.330442e-01,-0.3065,1.223951e+00,-0.6016
111.1931,4.310692e-01,-0.3084,1.213117e+00,-0.5944
112.8585,4.290920e-01,-0.3100,1.202510e+00,-0.5870
114.5489,4.271136e-01,-0.3116,1.192128e+00,-0.5794
116.2646,4.251350e-01,-0.3130,1.181970e+00,-0.5717
118.0060,4.231573e-01,-0.3142,1.172033e+00,-0.5640
119.7735,4.211815e-01,-0.3153,1.162314e+00,-0.5562
121.5675,4.192084e-01,-0.3163,1.152808e+00,-0.5485
123.3883,4.172389e-01,-0.3172,1.143511e+00,-0.5409
125.2364,4.152737e-01,-0.3179,1.134417e+00,-0.5333
127.1122,4.133135e-01,-0.3185,1.125521e+00,-0.5259
129.0161,4.113590e-01,-0.3191,1.116816e+00,-0.5187
130.9485,4.094106e-01,-0.3196,1.108294e+00,-0.5118
132.9098,4.074689e-01,-0.3200,1.099949e+00,-0.5051
134.9005,4.055342e-01,-0.3203,1.091773e+00,-0.4988
136.9210,4.036067e-01,-0.3206,1.083758e+00,-0.4927
138.9718,4.016868e-01,-0.3209,1.075895e+00,-0.4871
141.0534,3.997744e-01,-0.3211,1.068176e+00,-0.4818
